synop, fromtime, lat, lon, geom 
1003, 1985-06-01, 77, 15.5, POINT(15.5 77) 
1004, 2002-07-01, 78.9167, 11.9333, POINT(11.9333 78.9167) 
1006, 1992-09-03, 78.2333, 22.7833, POINT(22.7833 78.2333) 
1007, 1997-12-01, 78.9167, 11.9333, POINT(11.9333 78.9167) 
1008, 1975-08-01, 78.2452, 15.4823, POINT(15.4823 78.2452) 
1009, 2000-08-01, 80.6617, 25, POINT(25 80.6617) 
1010, 1958-01-01, 69.2967, 16.1467, POINT(16.1467 69.2967) 
1015, 1979-11-01, 69.6, 17.8333, POINT(17.8333 69.6) 
1016, 2010-09-28, 78.92, 28.83, POINT(28.83 78.92) 
1017, 2010-08-23, 77.6888, 14.784, POINT(14.784 77.6888) 
1023, 1940-07-01, 69.059, 18.5402, POINT(18.5402 69.059) 
1025, 1964-09-30, 69.677, 18.913, POINT(18.913 69.677) 
1026, 1895-08-01, 69.6538, 18.905, POINT(18.905 69.6538) 
1033, 1933-01-01, 70.2457, 19.5005, POINT(19.5005 70.2457) 
1045, 1965-08-01, 69.8333, 21.8833, POINT(21.8833 69.8333) 
1046, 1974-08-01, 69.7833, 20.9667, POINT(20.9667 69.7833) 
1047, 1996-07-08, 68.9968, 23.0335, POINT(23.0335 68.9968) 
1049, 1963-12-01, 69.9775, 23.3582, POINT(23.3582 69.9775) 
1052, 1974-08-01, 70.6667, 23.6667, POINT(23.6667 70.6667) 
1055, 1954-06-16, 71.1, 24, POINT(24 71.1) 
1057, 1982-01-01, 69.3667, 24.4333, POINT(24.4333 69.3667) 
1059, 1965-08-01, 70.06, 24.99, POINT(24.99 70.06) 
1062, 1944-11-01, 76.5, 25.0667, POINT(25.0667 76.5) 
1065, 2004-07-08, 69.4635, 25.5023, POINT(25.5023 69.4635) 
1068, 1977-07-01, 71.0167, 25.9833, POINT(25.9833 71.0167) 
1074, 1974-08-01, 71.0333, 27.8333, POINT(27.8333 71.0333) 
1075, 1951-01-01, 70.4003, 28.2002, POINT(28.2002 70.4003) 
1083, 1974-08-01, 70.8667, 29.0333, POINT(29.0333 70.8667) 
1084, 2009-05-26, 69.45, 30.003, POINT(30.003 69.45) 
1088, 1974-08-01, 70.0667, 29.85, POINT(29.85 70.0667) 
1089, 1964-02-01, 69.7333, 29.9, POINT(29.9 69.7333) 
1092, 1924-01-01, 70.7, 30.0833, POINT(30.0833 70.7) 
1098, 1870-12-13, 70.3672, 31.0848, POINT(31.0848 70.3672) 
1102, 1974-11-01, 65.2, 11, POINT(11 65.2) 
1107, 1986-07-01, 67.5, 12.0833, POINT(12.0833 67.5) 
1108, 1991-02-01, 65.7, 11.85, POINT(11.85 65.7) 
1112, 1968-07-01, 65.4567, 12.2182, POINT(12.2182 65.4567) 
1115, 1992-10-15, 66.7667, 12.4833, POINT(12.4833 66.7667) 
1116, 1968-07-01, 65.9667, 12.4667, POINT(12.4667 65.9667) 
1121, 2007-11-01, 66.3663, 12.6153, POINT(12.6153 66.3663) 
1122, 1987-01-01, 65.784, 13.23, POINT(13.23 65.784) 
1139, 1997-02-20, 67.6527, 12.7228, POINT(12.7228 67.6527) 
1141, 1972-06-01, 68.15, 13.6167, POINT(13.6167 68.15) 
1151, 1968-07-01, 66.364, 14.3008, POINT(14.3008 66.364) 
1156, 2002-12-03, 68.6067, 14.4333, POINT(14.4333 68.6067) 
1160, 1933-05-01, 68.15, 14.65, POINT(14.65 68.15) 
1161, 1972-06-01, 68.25, 14.6667, POINT(14.6667 68.25) 
1162, 1972-06-01, 68.5833, 15.0167, POINT(15.0167 68.5833) 
1167, 1985-01-01, 68.7003, 15.4168, POINT(15.4168 68.7003) 
1169, 2012-09-26, 66.85, 15.3167, POINT(15.3167 66.85) 
1180, 2002-08-01, 68.8027, 16.5373, POINT(16.5373 68.8027) 
1183, 1973-07-01, 68.5167, 16.6833, POINT(16.6833 68.5167) 
1199, 1913-04-01, 68.75, 23.5333, POINT(23.5333 68.75) 
