synop, fromtime, lat, lon, geom 
1200, 1998-03-01, 66.0167, 8.08333, POINT(8.08333 66.0167) 
1201, 1995-11-01, 65.3, 7.3, POINT(7.3 65.3) 
1203, 1991-10-01, 62.0333, 4.98333, POINT(4.98333 62.0333) 
1205, 1955-06-01, 62.3333, 5.26667, POINT(5.26667 62.3333) 
1209, 1971-06-01, 62.1833, 6.06667, POINT(6.06667 62.1833) 
1210, 1958-07-01, 62.56, 6.11983, POINT(6.11983 62.56) 
1212, 2001-03-13, 62.8667, 6.53333, POINT(6.53333 62.8667) 
1217, 1972-03-01, 62.75, 7.27, POINT(7.27 62.75) 
1218, 1984-01-01, 62.2335, 7.41667, POINT(7.41667 62.2335) 
1223, 1970-06-01, 63.1055, 7.83333, POINT(7.83333 63.1055) 
1225, 2002-07-01, 63.518, 7.94667, POINT(7.94667 63.518) 
1228, 1975-01-01, 63.85, 8.46667, POINT(8.46667 63.85) 
1233, 2006-08-31, 62.0698, 9.12233, POINT(9.12233 62.0698) 
1234, 2006-08-08, 63.3153, 9.8495, POINT(9.8495 63.3153) 
1238, 1968-06-01, 62.1167, 9.28333, POINT(9.28333 62.1167) 
1245, 1999-12-01, 62.6043, 9.66667, POINT(9.66667 62.6043) 
1257, 1996-03-01, 63.4098, 10.4498, POINT(10.4498 63.4098) 
1259, 1994-10-16, 64.4, 10.45, POINT(10.45 64.4) 
1262, 1890-12-01, 64.8, 10.55, POINT(10.55 64.8) 
1265, 2001-07-01, 62.2702, 10.736, POINT(10.736 62.2702) 
1271, 1940-04-17, 63.4545, 10.9212, POINT(10.9212 63.4545) 
1277, 1984-05-05, 64.02, 11.4527, POINT(11.4527 64.02) 
1278, 1992-12-01, 63.7833, 11.6667, POINT(11.6667 63.7833) 
1282, 1989-01-01, 64.8333, 11.15, POINT(11.15 64.8333) 
1288, 1957-08-01, 62.5765, 11.3525, POINT(11.3525 62.5765) 
1290, 1968-07-01, 64.4667, 11.5833, POINT(11.5833 64.4667) 
1293, 2004-04-15, 63.4167, 11.7333, POINT(11.7333 63.4167) 
1298, 1988-08-01, 64.446, 13.7195, POINT(13.7195 64.446) 
1304, 2006-06-01, 61.5717, 4.68167, POINT(4.68167 61.5717) 
1308, 1972-01-01, 61.3, 5.05, POINT(5.05 61.3) 
1310, 1971-06-01, 61.5833, 5.03333, POINT(5.03333 61.5833) 
1311, 1955-10-02, 60.289, 5.227, POINT(5.227 60.289) 
1317, 1949-01-01, 60.3833, 5.33367, POINT(5.33367 60.3833) 
1319, 1950-06-01, 61.0267, 5.385, POINT(5.385 61.0267) 
1320, 1975-06-01, 61.829, 6.104, POINT(6.104 61.829) 
1321, 1993-11-01, 61.9167, 6.56667, POINT(6.56667 61.9167) 
1322, 1992-12-01, 61.4648, 5.92283, POINT(5.92283 61.4648) 
1323, 1987-01-01, 61.4, 5.76667, POINT(5.76667 61.4) 
1327, 2006-08-01, 60.3887, 5.964, POINT(5.964 60.3887) 
1329, 2003-11-16, 60.3578, 6.27483, POINT(6.27483 60.3578) 
1337, 2004-01-22, 60.63, 6.42, POINT(6.42 60.63) 
1338, 1993-12-17, 61.1667, 6.65, POINT(6.65 61.1667) 
1344, 1999-06-01, 60.7, 6.93333, POINT(6.93333 60.7) 
1350, 1993-10-01, 60.6, 7.53333, POINT(7.53333 60.6) 
1352, 2008-10-04, 60.184, 7.4815, POINT(7.4815 60.184) 
1355, 2008-09-12, 61.1, 7.48333, POINT(7.48333 61.1) 
1356, 2012-08-27, 61.5167, 7.9, POINT(7.9 61.5167) 
1358, 2005-11-14, 60.8553, 8.5945, POINT(8.5945 60.8553) 
1360, 1998-11-01, 61.8968, 7.89683, POINT(7.89683 61.8968) 
1363, 2001-11-01, 60.4167, 8.51667, POINT(8.51667 60.4167) 
1364, 2010-09-18, 61.18, 8.11667, POINT(8.11667 61.18) 
1365, 2010-08-28, 61.2508, 8.92283, POINT(8.92283 61.2508) 
1366, 2003-08-25, 61.5667, 8, POINT(8 61.5667) 
1367, 1982-07-01, 60.9867, 9.23667, POINT(9.23667 60.9867) 
1370, 2011-06-08, 61.5167, 9.38333, POINT(9.38333 61.5167) 
1373, 2003-11-17, 60.5667, 9.13333, POINT(9.13333 60.5667) 
1378, 2005-05-04, 61.0833, 10.4833, POINT(10.4833 61.0833) 
1380, 1980-08-01, 61.65, 10.1167, POINT(10.1167 61.65) 
1382, 1993-12-16, 60.7667, 10.8, POINT(10.8 60.7667) 
1383, 2001-10-27, 61.4075, 11.1383, POINT(11.1383 61.4075) 
1384, 1940-04-01, 60.1878, 11.074, POINT(11.074 60.1878) 
1389, 1958-01-01, 61.1, 11.3667, POINT(11.3667 61.1) 
1392, 2003-11-17, 60.6092, 12.0153, POINT(12.0153 60.6092) 
1393, 1947-11-01, 61.8872, 12.048, POINT(12.048 61.8872) 
1402, 1993-10-01, 58.3712, 1.90917, POINT(1.90917 58.3712) 
1403, 1860-01-01, 59.3, 4.88333, POINT(4.88333 59.3) 
1406, 1923-07-01, 59.9167, 5.06667, POINT(5.06667 59.9167) 
1407, 1985-01-01, 59.7933, 5.34067, POINT(5.34067 59.7933) 
1408, 1975-04-01, 59.35, 5.21667, POINT(5.21667 59.35) 
1412, 1993-11-10, 58.65, 5.55, POINT(5.55 58.65) 
1417, 1969-01-01, 59.4833, 5.75, POINT(5.75 59.4833) 
1418, 2012-04-27, 60.0167, 5.20583, POINT(5.20583 60.0167) 
1424, 1928-03-01, 59.6487, 6.36333, POINT(6.36333 59.6487) 
1427, 1919-07-01, 58.1167, 6.56667, POINT(6.56667 58.1167) 
1433, 1973-01-01, 59.8333, 6.98333, POINT(6.98333 59.8333) 
1434, 1994-09-27, 59.7667, 7.36667, POINT(7.36667 59.7667) 
1436, 1969-04-01, 57.9833, 7.05, POINT(7.05 57.9833) 
1439, 1992-01-01, 58.2667, 7.33333, POINT(7.33333 58.2667) 
1441, 1994-11-01, 59.5833, 7.38333, POINT(7.38333 59.5833) 
1442, 2011-09-23, 58.6863, 7.803, POINT(7.803 58.6863) 
1448, 1869-11-01, 58.0667, 8.05, POINT(8.05 58.0667) 
1452, 1946-01-01, 58.2002, 8.06817, POINT(8.06817 58.2002) 
1455, 2008-11-10, 59.0272, 8.52067, POINT(8.52067 59.0272) 
1459, 1966-07-01, 58.65, 8.63333, POINT(8.63333 58.65) 
1467, 1947-02-01, 58.6333, 9.15, POINT(9.15 58.6333) 
1468, 2006-07-01, 60.2, 12.02, POINT(12.02 60.2) 
1470, 1997-05-13, 59.3833, 9.21667, POINT(9.21667 59.3833) 
1471, 2006-07-05, 60.0438, 9.14867, POINT(9.14867 60.0438) 
1473, 2003-02-17, 59.6247, 9.63767, POINT(9.63767 59.6247) 
1475, 1962-10-01, 59.1833, 9.56667, POINT(9.56667 59.1833) 
1477, 2010-03-19, 59.72, 10.13, POINT(10.13 59.72) 
1480, 2004-09-20, 59.7537, 10.1237, POINT(10.1237 59.7537) 
1481, 1999-02-09, 59.2333, 10.35, POINT(10.35 59.2333) 
1482, 1885-01-01, 59.0333, 10.5333, POINT(10.5333 59.0333) 
1483, 1959-09-01, 59.2, 10.2667, POINT(10.2667 59.2) 
1484, 2007-11-28, 59.913, 11.5775, POINT(11.5775 59.913) 
1486, 1983-01-01, 59.8562, 10.437, POINT(10.437 59.8562) 
1487, 2007-12-03, 59.9267, 10.8342, POINT(10.8342 59.9267) 
1488, 2007-01-08, 60.1167, 10.829, POINT(10.829 60.1167) 
1490, 1997-09-16, 59.9833, 10.6833, POINT(10.6833 59.9833) 
1492, 1937-02-25, 59.943, 10.721, POINT(10.721 59.943) 
1493, 2002-03-10, 59.2857, 11.1148, POINT(11.1148 59.2857) 
1494, 1955-01-01, 59.383, 10.7882, POINT(10.7882 59.383) 
1495, 1994-05-09, 59.15, 10.8333, POINT(10.8333 59.15) 
1502, 2008-01-14, 59.9333, 10.4167, POINT(10.4167 59.9333) 
1504, 2008-01-14, 62.2833, 9.53333, POINT(9.53333 62.2833) 
1506, 2008-01-14, 60.7997, 11.1167, POINT(11.1167 60.7997) 
1510, 2008-01-14, 59.8167, 10.3333, POINT(10.3333 59.8167) 
2020, 1977-07-01, 68.42, 18.17, POINT(18.17 68.42) 
2036, 2006-06-12, 67.85, 19.0333, POINT(19.0333 67.85) 
2049, 2006-06-12, 67.15, 20.65, POINT(20.65 67.15) 
2080, 1935-01-01, 68.45, 22.5, POINT(22.5 68.45) 
2104, 1977-07-01, 65.7833, 15.1, POINT(15.1 65.7833) 
2124, 2006-02-27, 66.0333, 17.8667, POINT(17.8667 66.0333) 
2128, 1973-01-01, 64.9667, 17.7, POINT(17.7 64.9667) 
2154, 2006-06-12, 65.8667, 20.15, POINT(20.15 65.8667) 
2206, 1935-01-01, 63.3, 12.1167, POINT(12.1167 63.3) 
2221, 2006-06-12, 63.8333, 13.5, POINT(13.5 63.8333) 
2222, 1977-07-01, 64.5, 14.15, POINT(14.15 64.5) 
2244, 2006-02-27, 63.7, 16.8667, POINT(16.8667 63.7) 
2245, 2006-06-12, 64.5833, 16.8333, POINT(16.8333 64.5833) 
2247, 2006-06-12, 63.15, 16.1667, POINT(16.1667 63.15) 
2288, 2006-06-12, 63.6, 20.7667, POINT(20.7667 63.6) 
2308, 2006-06-12, 62.45, 12.6667, POINT(12.6667 62.45) 
2316, 2006-06-12, 61.7, 13.1667, POINT(13.1667 61.7) 
2366, 2010-10-14, 62.5333, 17.45, POINT(17.45 62.5333) 
2410, 1977-07-01, 60.6833, 13.7, POINT(13.7 60.6833) 
2432, 2006-06-12, 59.2333, 15.05, POINT(15.05 59.2333) 
2435, 2006-06-12, 60.4333, 15.5167, POINT(15.5167 60.4333) 
2464, 2006-06-12, 59.3667, 17.9, POINT(17.9 59.3667) 
2500, 2006-06-12, 58.9, 11, POINT(11 58.9) 
2550, 2006-06-12, 57.7667, 14.0833, POINT(14.0833 57.7667) 
2584, 2006-06-12, 58.4, 19.2, POINT(19.2 58.4) 
2680, 2006-06-12, 56.9167, 18.15, POINT(18.15 56.9167) 
2805, 2006-06-12, 69.75, 27.03, POINT(27.03 69.75) 
2807, 2006-06-12, 68.6167, 27.4167, POINT(27.4167 68.6167) 
2823, 2006-06-12, 67.9667, 23.6833, POINT(23.6833 67.9667) 
2836, 1952-01-01, 67.3667, 26.65, POINT(26.65 67.3667) 
2845, 1973-01-01, 66.5667, 25.8333, POINT(25.8333 66.5667) 
2869, 2006-06-12, 65.9667, 29.1833, POINT(29.1833 65.9667) 
2875, 2006-06-12, 64.9333, 25.3667, POINT(25.3667 64.9333) 
2897, 2006-06-12, 64.2833, 27.6833, POINT(27.6833 64.2833) 
2911, 2006-06-12, 63.05, 21.7667, POINT(21.7667 63.05) 
2913, 2006-06-12, 63.1, 23.0333, POINT(23.0333 63.1) 
2917, 2006-06-12, 63.0167, 27.8, POINT(27.8 63.0167) 
2929, 2006-06-12, 62.6667, 29.6333, POINT(29.6333 62.6667) 
2935, 2006-06-12, 62.4, 25.6833, POINT(25.6833 62.4) 
2942, 2006-06-12, 61.85, 22.4667, POINT(22.4667 61.85) 
2947, 2006-06-12, 61.7333, 27.3, POINT(27.3 61.7333) 
2952, 2006-06-12, 61.4667, 21.8, POINT(21.8 61.4667) 
2958, 2006-06-12, 61.0833, 28.15, POINT(28.15 61.0833) 
2963, 2006-06-12, 60.8167, 23.5, POINT(23.5 60.8167) 
2965, 2006-02-27, 60.9667, 25.6333, POINT(25.6333 60.9667) 
2972, 1952-01-01, 60.52, 22.27, POINT(22.27 60.52) 
2974, 1952-01-01, 60.25, 25, POINT(25 60.25) 
3005, 2006-06-12, 60.13, -1.18, POINT(-1.18 60.13) 
3026, 2006-06-12, 58.2167, -6.31667, POINT(-6.31667 58.2167) 
3066, 2006-06-12, 57.65, -3.56667, POINT(-3.56667 57.65) 
3075, 2006-06-12, 58.45, -3.08333, POINT(-3.08333 58.45) 
3100, 2006-06-12, 56.5, -6.88333, POINT(-6.88333 56.5) 
3162, 2006-06-12, 55.3167, -3.2, POINT(-3.2 55.3167) 
3171, 2006-06-12, 56.4, -2.86667, POINT(-2.86667 56.4) 
3240, 2006-06-12, 55.4167, -1.6, POINT(-1.6 55.4167) 
3257, 2006-06-12, 54.3, -1.53333, POINT(-1.53333 54.3) 
3302, 2006-06-12, 53.25, -4.53333, POINT(-4.53333 53.25) 
3502, 2006-06-12, 52.1333, -4.56667, POINT(-4.56667 52.1333) 
3746, 2006-06-12, 51.1667, -1.75, POINT(-1.75 51.1667) 
3808, 2006-06-12, 50.2167, -5.31667, POINT(-5.31667 50.2167) 
3827, 2006-06-12, 50.35, -4.11667, POINT(-4.11667 50.35) 
3917, 2006-06-12, 54.65, -6.21667, POINT(-6.21667 54.65) 
3953, 2006-06-12, 51.9333, -10.25, POINT(-10.25 51.9333) 
3957, 2006-06-12, 52.25, -6.33333, POINT(-6.33333 52.25) 
3962, 2006-06-12, 52.7, -8.91667, POINT(-8.91667 52.7) 
3970, 2006-06-12, 53.7167, -8.98333, POINT(-8.98333 53.7167) 
3976, 2006-06-12, 54.2333, -10, POINT(-10 54.2333) 
3980, 2006-06-12, 55.3667, -7.33333, POINT(-7.33333 55.3667) 
4018, 2006-06-12, 63.9667, -22.6, POINT(-22.6 63.9667) 
4030, 2006-06-12, 64.1, -21.9, POINT(-21.9 64.1) 
4231, 2006-06-12, 67, -50.8, POINT(-50.8 67) 
6011, 2006-06-12, 62.0167, -6.76667, POINT(-6.76667 62.0167) 
6030, 2006-06-12, 57.1, 9.86667, POINT(9.86667 57.1) 
6052, 2006-06-12, 56.7, 8.22, POINT(8.22 56.7) 
6070, 2010-11-14, 56.3, 10.6167, POINT(10.6167 56.3) 
6110, 2006-06-12, 55.2333, 9.26667, POINT(9.26667 55.2333) 
6120, 2006-06-12, 55.4833, 10.3333, POINT(10.3333 55.4833) 
6180, 2006-06-12, 55.6, 12.6, POINT(12.6 55.6) 
6190, 2006-06-12, 55.0667, 14.75, POINT(14.75 55.0667) 
6235, 2006-06-12, 52.9333, 4.78333, POINT(4.78333 52.9333) 
6240, 2006-06-12, 52.3, 4.8, POINT(4.8 52.3) 
6260, 2006-06-12, 52.1, 5.18333, POINT(5.18333 52.1) 
6280, 2006-06-12, 53.1167, 6.58333, POINT(6.58333 53.1167) 
6290, 2006-06-12, 52.2667, 6.9, POINT(6.9 52.2667) 
6310, 2006-06-12, 51.45, 3.6, POINT(3.6 51.45) 
6400, 2006-06-12, 51.0833, 2.65, POINT(2.65 51.0833) 
6447, 2006-06-12, 50.8, 4.35, POINT(4.35 50.8) 
6451, 2006-06-12, 50.9, 4.5, POINT(4.5 50.9) 
6476, 2006-06-12, 50.0333, 5.4, POINT(5.4 50.0333) 
6479, 2006-06-12, 51.1667, 5.46667, POINT(5.46667 51.1667) 
6590, 2006-06-12, 49.6667, 6.16667, POINT(6.16667 49.6667) 
6610, 2006-06-12, 46.8167, 6.95, POINT(6.95 46.8167) 
6670, 2006-06-12, 47.5, 8.5, POINT(8.5 47.5) 
6700, 2006-06-12, 46.25, 6.1, POINT(6.1 46.25) 
7005, 2006-06-12, 50.1333, 1.83333, POINT(1.83333 50.1333) 
7015, 2010-01-07, 50.5667, 3.09983, POINT(3.09983 50.5667) 
7037, 2006-06-12, 49.3833, 1.18333, POINT(1.18333 49.3833) 
7070, 2010-01-07, 49.3, 4.03333, POINT(4.03333 49.3) 
7110, 2006-06-12, 48.45, -4.41667, POINT(-4.41667 48.45) 
7130, 2006-06-12, 48.0667, -1.73333, POINT(-1.73333 48.0667) 
7149, 2006-06-12, 48.7, 2.4, POINT(2.4 48.7) 
7150, 2006-06-12, 48.9667, 2.43333, POINT(2.43333 48.9667) 
7157, 2006-06-12, 49.0167, 2.53333, POINT(2.53333 49.0167) 
7168, 2006-06-12, 48.3333, 4.01667, POINT(4.01667 48.3333) 
7180, 2006-06-12, 48.6833, 6.21667, POINT(6.21667 48.6833) 
7190, 2006-06-12, 48.5498, 7.63317, POINT(7.63317 48.5498) 
7240, 2006-06-12, 47.45, 0.733333, POINT(0.733333 47.45) 
7255, 2006-06-12, 47.0667, 2.36667, POINT(2.36667 47.0667) 
7280, 2006-06-12, 47.2667, 5.08333, POINT(5.08333 47.2667) 
7292, 2006-06-12, 47.7833, 6.36667, POINT(6.36667 47.7833) 
7434, 2006-06-12, 45.8667, 1.18333, POINT(1.18333 45.8667) 
7460, 2006-06-12, 45.7833, 3.16667, POINT(3.16667 45.7833) 
7481, 2006-06-12, 45.7298, 5.07983, POINT(5.07983 45.7298) 
7510, 2006-06-12, 44.8333, -0.7, POINT(-0.7 44.8333) 
7535, 2006-06-12, 44.75, 1.4, POINT(1.4 44.75) 
7577, 2006-06-12, 44.5833, 4.73333, POINT(4.73333 44.5833) 
7602, 2006-06-12, 43.4667, -1.53333, POINT(-1.53333 43.4667) 
7630, 2006-06-12, 43.6332, 1.36667, POINT(1.36667 43.6332) 
7645, 2006-06-12, 43.8667, 4.4, POINT(4.4 43.8667) 
7650, 2006-06-12, 43.45, 5.23, POINT(5.23 43.45) 
7690, 2010-01-07, 43.65, 7.2, POINT(7.2 43.65) 
7747, 2010-01-07, 42.7333, 2.88333, POINT(2.88333 42.7333) 
7761, 2006-06-12, 41.9167, 8.8, POINT(8.8 41.9167) 
8001, 2006-06-12, 43.3667, -8.41667, POINT(-8.41667 43.3667) 
8023, 2006-06-12, 43.4833, -3.8, POINT(-3.8 43.4833) 
8027, 2006-06-12, 43.3, -2.03333, POINT(-2.03333 43.3) 
8045, 2006-06-12, 42.2333, -8.63333, POINT(-8.63333 42.2333) 
8084, 2006-06-12, 42.45, -2.33333, POINT(-2.33333 42.45) 
8202, 2006-06-12, 40.95, -5.5, POINT(-5.5 40.95) 
8221, 2006-06-12, 40.45, -3.6, POINT(-3.6 40.45) 
8261, 2006-06-12, 39.4667, -6.33333, POINT(-6.33333 39.4667) 
8280, 2006-06-12, 38.95, -1.85, POINT(-1.85 38.95) 
8348, 2006-06-12, 38.9833, -3.91667, POINT(-3.91667 38.9833) 
8373, 2006-06-12, 38.8833, 1.36667, POINT(1.36667 38.8833) 
8482, 2006-06-12, 36.7, -4.5, POINT(-4.5 36.7) 
8487, 2006-06-12, 36.85, -2.38333, POINT(-2.38333 36.85) 
8505, 2006-06-12, 38.5167, -28.7167, POINT(-28.7167 38.5167) 
8538, 2006-06-12, 37, -8.95, POINT(-8.95 37) 
8562, 2006-06-12, 38.0167, -7.86667, POINT(-7.86667 38.0167) 
8571, 2006-06-12, 39.2833, -7.41667, POINT(-7.41667 39.2833) 
8575, 2006-06-12, 41.8, -6.73333, POINT(-6.73333 41.8) 
8579, 2006-06-12, 38.8, -9.1, POINT(-9.1 38.8) 
10035, 2006-06-12, 54.5333, 9.55, POINT(9.55 54.5333) 
10091, 2006-06-12, 54.6833, 13.4333, POINT(13.4333 54.6833) 
10113, 2006-06-12, 53.7167, 7.15, POINT(7.15 53.7167) 
10131, 2006-06-12, 53.8667, 8.7, POINT(8.7 53.8667) 
10147, 2006-06-12, 53.6, 10, POINT(10 53.6) 
10162, 2006-06-12, 53.65, 11.3833, POINT(11.3833 53.65) 
10224, 2006-06-12, 53.05, 8.8, POINT(8.8 53.05) 
10315, 2006-06-12, 52.1333, 7.7, POINT(7.7 52.1333) 
10338, 2006-06-12, 52.47, 9.7, POINT(9.7 52.47) 
10361, 2006-06-12, 52.1, 11.5833, POINT(11.5833 52.1) 
10384, 2006-06-12, 52.5, 13.4, POINT(13.4 52.5) 
10393, 2006-06-12, 52.2167, 14.1167, POINT(14.1167 52.2167) 
10410, 2006-06-12, 51.4, 6.96667, POINT(6.96667 51.4) 
10439, 2006-06-12, 51.1167, 9.28333, POINT(9.28333 51.1167) 
10488, 2006-06-12, 51.1333, 13.7833, POINT(13.7833 51.1333) 
10490, 2006-06-12, 51.65, 13.5833, POINT(13.5833 51.65) 
10548, 2006-06-12, 50.5667, 10.3833, POINT(10.3833 50.5667) 
10655, 2006-06-12, 49.7667, 9.96667, POINT(9.96667 49.7667) 
10708, 2006-06-12, 49.2167, 7.11667, POINT(7.11667 49.2167) 
10729, 2006-06-12, 49.5167, 8.55, POINT(8.55 49.5167) 
10738, 2006-06-12, 48.6833, 9.2, POINT(9.2 48.6833) 
10763, 2006-06-12, 49.5, 11.0833, POINT(11.0833 49.5) 
10776, 2006-06-12, 49.05, 12.1, POINT(12.1 49.05) 
10803, 2006-06-12, 48.0167, 7.83333, POINT(7.83333 48.0167) 
11035, 2006-06-12, 48.25, 16.3667, POINT(16.3667 48.25) 
11036, 2006-06-12, 48.1, 16.55, POINT(16.55 48.1) 
11659, 2006-06-12, 49.5833, 15.7667, POINT(15.7667 49.5833) 
11723, 2010-10-14, 49.15, 16.7, POINT(16.7 49.15) 
11782, 2006-06-12, 49.68, 18.12, POINT(18.12 49.68) 
11858, 2006-06-12, 47.8667, 18.2, POINT(18.2 47.8667) 
11934, 2006-06-12, 49.0667, 20.25, POINT(20.25 49.0667) 
11968, 2006-06-12, 48.67, 21.22, POINT(21.22 48.67) 
12100, 2006-06-12, 54.1833, 15.5833, POINT(15.5833 54.1833) 
12115, 2006-06-12, 54.5833, 16.8667, POINT(16.8667 54.5833) 
12135, 2006-06-12, 54.6, 18.8167, POINT(18.8167 54.6) 
12195, 2006-06-12, 54.1333, 22.95, POINT(22.95 54.1333) 
12205, 2006-06-12, 53.4, 14.6167, POINT(14.6167 53.4) 
12235, 2006-06-12, 53.7, 17.55, POINT(17.55 53.7) 
12250, 2006-06-12, 53.05, 18.5833, POINT(18.5833 53.05) 
12272, 2006-06-12, 53.7667, 20.4167, POINT(20.4167 53.7667) 
12295, 2006-06-12, 53.1, 23.1667, POINT(23.1667 53.1) 
12300, 2006-06-12, 52.75, 15.2833, POINT(15.2833 52.75) 
12330, 2006-06-12, 52.4167, 16.8333, POINT(16.8333 52.4167) 
12375, 2006-06-12, 52.15, 21, POINT(21 52.15) 
12399, 2006-06-12, 52.0667, 23.6167, POINT(23.6167 52.0667) 
12400, 2006-06-12, 51.9333, 15.5333, POINT(15.5333 51.9333) 
12424, 2006-06-12, 51.1, 16.8833, POINT(16.8833 51.1) 
12465, 2006-06-12, 51.7333, 19.4, POINT(19.4 51.7333) 
12495, 2006-06-12, 51.2167, 22.4, POINT(22.4 51.2167) 
12500, 2006-06-12, 50.9, 15.8, POINT(15.8 50.9) 
12520, 2006-06-12, 50.4333, 16.6167, POINT(16.6167 50.4333) 
12550, 2006-06-12, 50.8167, 19.1, POINT(19.1 50.8167) 
12570, 2006-06-12, 50.8167, 20.7, POINT(20.7 50.8167) 
12580, 2006-06-12, 50.1, 22.05, POINT(22.05 50.1) 
12695, 2006-06-12, 49.8, 22.7667, POINT(22.7667 49.8) 
12772, 2006-06-12, 48.1, 20.7667, POINT(20.7667 48.1) 
12812, 2006-06-12, 47.2667, 16.6333, POINT(16.6333 47.2667) 
12843, 2006-06-12, 47.4333, 19.1833, POINT(19.1833 47.4333) 
12860, 2006-06-12, 47.1167, 20.2333, POINT(20.2333 47.1167) 
12882, 2006-06-12, 47.4833, 21.6, POINT(21.6 47.4833) 
12925, 2006-06-12, 46.45, 16.9667, POINT(16.9667 46.45) 
12935, 2006-06-12, 46.9167, 18.05, POINT(18.05 46.9167) 
12960, 2006-06-12, 46.1833, 19.0167, POINT(19.0167 46.1833) 
12982, 2006-06-12, 46.25, 20.1, POINT(20.1 46.25) 
13272, 2006-06-12, 44.8, 20.3, POINT(20.3 44.8) 
14015, 2006-06-12, 46.0667, 14.5167, POINT(14.5167 46.0667) 
14474, 2006-06-12, 42.5667, 18.2667, POINT(18.2667 42.5667) 
15010, 2006-06-12, 47.7167, 22.8833, POINT(22.8833 47.7167) 
15020, 2006-06-12, 47.7333, 26.65, POINT(26.65 47.7333) 
